Timestamp,Symbol,Action,Quantity,Price,Status,Mode,StrategyID,OrderID
2026-01-22T17:44:46.281325,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.281621,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.281811,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.282093,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.282541,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.282827,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.283174,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.283395,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.283971,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.284271,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.284493,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.284705,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.284951,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.285212,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.285432,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.285655,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.285949,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.286390,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.286595,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.286855,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.287083,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.287289,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.287529,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.287757,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.287981,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.288223,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.288425,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.288630,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.288836,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.289128,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.289323,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.289649,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.289878,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.290121,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.290342,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.290583,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.290791,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.297238,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.297545,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.297794,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.298020,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.298264,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.298468,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.298674,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.298845,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.299165,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.299422,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.299613,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.299876,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.300111,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.300382,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.300785,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.301022,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.301321,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.301599,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.301821,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.302018,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.302232,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.302433,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.302641,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.302865,NSE_FO|NIFTY,BUY,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.303088,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.303276,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.309726,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.310080,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.310302,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.310635,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.310865,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.311098,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.311391,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.311621,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.311835,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.312102,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.312401,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.312661,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.312881,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.313190,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.313512,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.313765,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.313963,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.314239,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.314468,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
2026-01-22T17:44:46.314696,NSE_FO|NIFTY,SELL,1,19500.0,FILLED,PAPER,UNKNOWN,N/A
